origin,_c1
ABE,0.027066145607179043
ABI,0.016515544041450777
ABQ,0.006534712283638917
ABY,0.03732394366197183
ACK,0.1115702479338843
ACT,0.021010789324247586
ACV,0.04316020482809071
ACY,0.032846715328467155
ADK,0.08653846153846154
ADQ,0.10866574965612105
AEX,0.017209588199139522
AGS,0.027977222084674423
AKN,0.05263157894736842
ALB,0.01400343167100238
AMA,0.017376407244248653
ANC,0.02302823758519961
APF,0.007142857142857143
ATL,0.018824508697066533
ATW,0.039376218323586745
AUS,0.0119695867104966
AVL,0.032867132867132866
AVP,0.038058991436726926
AZO,0.05325566881630955
BDL,0.012324605815130913
BET,0.06672519754170325
BFL,0.020933014354066987
BGM,0.035691109669046074
BGR,0.03476199881493186
BHM,0.01748966717424407
BIL,0.013024085637823372
BIS,0.00899795501022495
BMI,0.040555352575812935
BNA,0.012480292091942577
BOI,0.010136427387479281
BOS,0.025177763168831562
BPT,0.023752012882447666
BQK,0.03683806600153492
BQN,0.0053475935828877
BRO,0.009307737056428156
BRW,0.036619718309859155
BTM,0.05201916495550993
BTR,0.022648307811092522
BTV,0.01843088418430884
BUF,0.01841435890087056
BUR,0.009854985573500206
BWI,0.011182560485771936
BZN,0.00927643784786642
CAE,0.03134328358208955
CAK,0.02611698683358515
CDC,0.027704485488126648
CDV,0.03571428571428571
CEC,0.03532875368007851
CHA,0.03773584905660377
CHO,0.02909090909090909
CHS,0.024133746797896725
CIC,0.02394106813996317
CID,0.04621162638798171
CKB,0.0
CLD,0.018788163457022077
CLE,0.015419423326434981
CLL,0.02108511185394703
CLT,0.01410897066745927
CMH,0.02082689733292143
CMI,0.05509554140127389
COD,0.01116751269035533
COS,0.01259061426936284
CPR,0.020583717357910907
CRP,0.016763678696158323
CRW,0.030893710923133505
CSG,0.05200184077312471
CVG,0.027190869713620915
DAB,0.02608695652173913
DAL,0.026305283236481392
DAY,0.025721494061903882
DBQ,0.03728813559322034
DCA,0.025141279219111225
DEN,0.008885023034051738
DFW,0.016051201447653075
DHN,0.033037475345167655
DLG,0.055776892430278883
DLH,0.029644268774703556
DRO,0.028446389496717725
DSM,0.028028462339465463
DTW,0.014809206128323715
DUT,0.32727272727272727
EFD,0.039925719591457756
EGE,0.0265625
EKO,0.03707823507601038
ELP,0.008491485313906547
ERI,0.04081632653061224
EUG,0.03381109886071297
EVV,0.052796173657100806
EWR,0.024552639898830223
EYW,0.0327613104524181
FAI,0.023462035839645297
FAR,0.026840490797546013
FAT,0.023892773892773892
FAY,0.025380710659898477
FCA,0.01812688821752266
FLL,0.014839650584113906
FLO,0.03365384615384615
FMN,0.0
FNT,0.016254209986820912
FSD,0.026402004239737906
FSM,0.02866593164277839
FWA,0.04327917282127031
GEG,0.01381196101801865
GFK,0.014522821576763486
GGG,0.015539305301645339
GJT,0.04046242774566474
GNV,0.026762956669498725
GPT,0.017672557519173057
GRB,0.028402160655166406
GRK,0.033602150537634407
GRR,0.023422650070513213
GSO,0.02695611914193117
GSP,0.03223036787530546
GST,0.021739130434782608
GTF,0.0208994708994709
GTR,0.037142857142857144
GUC,0.029585798816568046
HDN,0.006060606060606061
HLN,0.03680060082613594
HNL,0.0026755852842809363
HOU,0.02095960451020892
HPN,0.04151302486023552
HRL,0.009687287559483344
HSV,0.03170731707317073
HTS,0.05150976909413854
HVN,0.03816793893129771
IAD,0.02150650993621844
IAH,0.009033311884373608
ICT,0.024025783767946087
IDA,0.016578041914294652
ILE,0.02054563826204109
ILM,0.024695031240702173
IND,0.012090835669152929
IPL,0.009776536312849162
ISP,0.018952419032387046
ITO,0.001979414093428345
IYK,0.027514231499051234
JAC,0.02009623549391452
JAN,0.017183025253840144
JAX,0.021349132794915928
JFK,0.014644648692364018
JNU,0.03015075376884422
KOA,0.0017339218158890291
KTN,0.02288237655560016
LAN,0.029800257731958765
LAS,0.009381894965766198
LAW,0.014733840304182509
LAX,0.010781485764397884
LBB,0.013996394867988548
LCH,0.013182674199623353
LEX,0.0270297128093014
LFT,0.013541666666666667
LGA,0.034090641738489406
LGB,0.008078679311556024
LIH,0.0038827152229214085
LIT,0.019079172855021136
LNK,0.038376709307454786
LNY,0.043859649122807015
LRD,0.011489173663278833
LSE,0.03417721518987342
LWB,0.0
LYH,0.024975984630163303
MAF,0.010759493670886076
MBS,0.03304524656837824
MCI,0.011302675528863998
MCN,0.044252873563218394
MCO,0.02059542855041283
MDT,0.026346490375267352
MDW,0.01151292478440522
MEI,0.03364485981308411
MEM,0.015372301124702406
MFE,0.008541600759253401
MFR,0.026090675791274595
MGM,0.02079179720877243
MHT,0.01423785594639866
MIA,0.0186204042849918
MKE,0.018710539656205356
MKK,0.07488986784140969
MLB,0.03449527959331881
MLI,0.030556924593395762
MLU,0.014204545454545454
MOB,0.024481737413622903
MOD,0.05035460992907802
MOT,0.00990990990990991
MQT,0.039951573849878935
MRY,0.023185622170393744
MSN,0.02518399264029439
MSO,0.01895943562610229
MSP,0.013012556572634159
MSY,0.014200537927661896
MTJ,0.014694201747418586
MYR,0.022041024334310103
OAK,0.009724770642201834
OGD,0.0
OGG,0.004586821987622862
OKC,0.01651457823280659
OMA,0.010864983843019716
OME,0.04401913875598086
ONT,0.010388400076748074
ORD,0.031169418082250048
ORF,0.017698746512305834
OTZ,0.04985337243401759
OXR,0.0245014245014245
PBI,0.015102559448175713
PDX,0.01859981722722956
PFN,0.02847415660786134
PHF,0.016458672454331705
PHL,0.023438847856984416
PHX,0.009270955119882027
PIA,0.050835148874364564
PIE,0.014193548387096775
PIH,0.021024258760107817
PIT,0.01697296779447221
PNS,0.03890350269970926
PSC,0.017059106198942815
PSG,0.04945054945054945
PSP,0.014165009940357853
PUB,0.3333333333333333
PVD,0.012710611882944133
PVU,0.0
PWM,0.044401896425966446
RAP,0.014856081708449397
RDD,0.018937644341801386
RDM,0.023713826366559485
RDU,0.025694656734188213
RIC,0.020596300834354396
RNO,0.010707970397537495
ROA,0.04384844614729672
ROC,0.01961709939680042
RST,0.05302713987473904
RSW,0.012329330106397552
SAN,0.010964504738896116
SAT,0.014366700318397142
SAV,0.020463847203274217
SBA,0.019680621493310315
SBN,0.03468089472604145
SBP,0.01590949266395616
SCC,0.07865168539325842
SCE,0.03510825043885313
SDF,0.018152811314246294
SEA,0.01169825805626131
SFO,0.013599163128422867
SGF,0.025134926754047802
SGU,0.012680521310320535
SHV,0.02237136465324385
SIT,0.00975975975975976
SJC,0.0134941827198169
SJT,0.022492625368731565
SJU,0.012390643187023617
SLC,0.011151639226089213
SMF,0.009191289864906546
SMX,0.016455101081335213
SNA,0.013174626336745116
SPS,0.020398912058023574
SRQ,0.024401838060529233
STL,0.013581677794283289
STT,0.01366120218579235
STX,0.0171990171990172
SUN,0.06400259909031839
SWF,0.025584333543903978
SYR,0.01852340145023072
TLH,0.02720834886321282
TOL,0.04030951952492352
TPA,0.016266622062390233
TRI,0.040242976461655276
TUL,0.018342644320297953
TUS,0.005771924908938078
TVC,0.0381653833277536
TWF,0.022406234778373113
TXK,0.02348825587206397
TYR,0.016689847009735744
TYS,0.023010267239496104
VCT,0.04267701260911736
VIS,0.08968609865470852
VLD,0.020714285714285713
VPS,0.036968576709796676
WRG,0.04401650618982118
WYS,0.07083333333333333
XNA,0.034405719392314564
YAK,0.038461538461538464
YUM,0.006928406466512702
